"pid","sale_price","sale_date","sale_price_2009","sale_date_2009","total_2024","total_2023"
12224,168000,1994-11-14,NA,NA,296030,218190
12225,2e+05,2016-11-28,NA,NA,315070,229390
12226,384000,2004-08-04,NA,NA,295120,202090
12227,559000,2023-11-16,NA,NA,343840,240870
12229,353000,2019-05-14,NA,NA,317730,247100
12230,4e+05,2020-12-08,NA,NA,329000,238070
12231,470000,2008-07-01,NA,NA,318640,237860
12232,415000,2012-11-07,NA,NA,331660,241990
12233,304032,2000-12-21,NA,NA,342020,252350
12234,440000,2008-03-31,NA,NA,301770,221550
12235,250497,2000-01-31,NA,NA,310590,226380
12236,475000,2007-06-15,NA,NA,322350,229950
12237,5e+05,2021-08-04,NA,NA,381080,284620
12238,450000,2022-05-04,NA,NA,424830,333060
12239,403000,2016-09-09,NA,NA,350770,274820
12240,436000,2007-11-08,NA,NA,312970,225190
12241,489138,2021-09-21,NA,NA,350840,269780
12242,268672,2000-07-18,NA,NA,323050,242340
12243,250469,1999-12-15,NA,NA,300790,221410
12244,362000,2018-08-08,NA,NA,306250,223300
12245,501000,2007-08-02,NA,NA,323190,247520
12246,377500,2020-07-31,NA,NA,334600,268590
12247,209900,1999-09-30,NA,NA,303380,222600
12248,439900,2007-03-29,NA,NA,314930,230160
12249,287584,2000-11-16,NA,NA,338800,254800
12250,4e+05,2019-06-14,NA,NA,334460,269920
12251,241000,1999-09-09,NA,NA,326130,225680
12252,230000,2015-12-17,NA,NA,262500,175980
12253,270000,2005-10-31,NA,NA,214130,141050
12254,179000,2016-11-30,NA,NA,196070,142170
12255,0,1987-12-07,NA,NA,217700,136780
12256,223000,2013-03-14,215663,2009-12-02,225960,144060
12257,0,1981-12-02,NA,NA,205240,131110
12258,92000,1994-11-21,NA,NA,240940,155260
12259,1,1998-02-10,NA,NA,103180,88620
12260,361000,2005-09-20,NA,NA,261660,168910
12261,351000,2022-03-23,NA,NA,229390,150360
12262,17500,1995-12-01,NA,NA,279510,189210
12263,1e+05,1998-12-01,NA,NA,259840,165340
12264,252000,1991-05-17,NA,NA,283920,198240
12265,0,2019-05-31,NA,NA,259560,168840
12266,135000,2011-06-23,NA,NA,275660,176820
12267,147500,1997-04-09,NA,NA,264250,165270
12268,90000,2018-09-28,NA,NA,259980,166180
12270,115000,1997-05-19,NA,NA,167720,75530
12271,214500,2011-10-12,NA,NA,247310,111650
12272,168500,2001-11-21,NA,NA,166600,105210
12273,263000,2024-07-17,NA,NA,169820,75530
12274,115000,1997-11-26,NA,NA,167650,84140
12275,2e+05,2023-07-25,NA,NA,232960,100170
12276,165000,2001-07-24,NA,NA,228690,98700
12277,128000,2016-06-21,NA,NA,115500,82180
12278,250000,2022-08-30,NA,NA,180740,93730
12279,116000,2019-08-12,NA,NA,136500,77630
12280,218000,2023-01-26,NA,NA,227360,98070
12281,163500,2013-10-29,NA,NA,175210,85190
12282,0,2001-10-09,NA,NA,187390,90720
12283,120000,1997-07-28,NA,NA,185360,88410
12284,118750,2016-02-01,NA,NA,159600,101290
12285,168000,2002-12-20,NA,NA,166600,109620
12286,183500,2025-07-24,NA,NA,180600,83440
12287,149000,2013-08-16,NA,NA,191800,91910
12288,0,2023-07-11,0,2009-10-05,171570,77350
12289,220000,2022-12-27,NA,NA,229810,99750
12290,165000,2022-04-29,NA,NA,122500,78540
12291,148000,2015-07-31,NA,NA,173740,78260
12292,115000,2016-04-26,195000,2009-04-24,136500,78260
12293,120000,1993-09-15,NA,NA,223580,95060
12294,240000,2007-04-26,NA,NA,228130,98700
12295,146000,2012-06-22,NA,NA,172690,88620
