"pid","sale_price","sale_date","total_2024","total_2023","building_2024","building_2023","extra_2024","extra_2023","outb_2024","outb_2023","land_2024","land_2023"
15642,320000,2022-02-08,268100,180460,204680,135940,2870,2100,0,0,60550,42420
15643,249900,2017-01-30,220150,143290,158690,100170,2730,1960,0,0,58730,41160
15644,135000,2011-10-11,294280,196770,181650,112560,2660,1890,25690,17290,84280,65030
15645,266500,2003-06-26,283010,184870,211190,140210,12110,2730,700,560,59010,41370
15646,345000,2023-06-08,257320,165690,183750,113540,2730,1890,0,0,70840,50260
15647,0,2025-06-30,322560,218470,237790,157780,13370,9800,0,0,71400,50890
15648,0,2020-09-18,242900,180040,152460,104020,2590,1890,2310,7700,85540,66430
15650,0,2025-06-27,207550,132020,144550,87990,2800,1820,0,0,60200,42210
15651,210000,2016-09-26,202930,129780,144900,89110,2660,1890,0,0,55370,38780
15652,313476,2007-04-18,254030,166460,189280,120890,2730,1960,1190,980,60830,42630
15653,0,1979-09-21,260820,179340,189000,128870,2870,2030,1330,1050,67620,47390
15654,0,2016-11-30,189000,142730,125440,97860,2240,1890,0,0,61320,42980
15655,0,2019-10-30,223790,145600,160160,100940,2660,1890,0,0,60970,42770
15656,315000,2016-12-14,311430,199850,227010,139230,2800,2030,14000,11200,67620,47390
15657,118000,1992-12-01,337540,234080,234080,160230,0,0,40460,29750,63000,44100
15658,2e+05,2004-01-06,262360,153930,190190,109200,8330,0,0,0,63840,44730
15659,425000,2024-06-03,243740,141330,173810,92400,2800,1890,0,0,67130,47040
15660,160474,2017-08-08,254800,165130,183540,115220,2800,1960,0,0,68460,47950
15661,319000,2023-03-15,281050,185500,208320,140700,5740,1960,5810,0,61180,42840
15662,395000,2025-07-03,265510,168840,195580,119770,2590,1890,0,0,67340,47180
15663,161500,1996-10-25,231840,154350,161140,104720,2590,1890,0,0,68110,47740
15664,250000,2020-05-04,221760,150990,151410,101360,3220,2590,0,0,67130,47040
15665,286000,2014-05-01,309330,204330,239890,155610,2660,1890,0,0,66780,46830
15666,198000,2002-04-22,203700,136570,132160,86240,2590,1960,840,630,68110,47740
15667,262500,2008-02-15,239400,162050,174930,116900,2800,1960,0,0,61670,43190
15668,166000,1990-04-17,238350,150290,177520,107660,0,0,0,0,60830,42630
15669,215000,2021-09-01,209580,135940,145320,90720,3430,2590,0,0,60830,42630
15670,140000,2004-04-15,197400,129360,135590,86030,0,0,0,0,61810,43330
15671,3e+05,2022-03-25,225050,149240,161420,104580,2660,1890,0,0,60970,42770
15672,0,2005-08-22,212380,140210,148890,95690,2660,1890,0,0,60830,42630
15673,380000,2025-06-11,246540,155470,175770,107590,3430,2590,2660,0,64680,45290
15674,0,2011-09-13,236040,156520,161840,102830,5460,4130,14000,11200,54740,38360
15675,0,2018-06-12,208600,138600,134260,85750,5390,4060,8750,6580,60200,42210
15676,308000,2007-01-26,241080,161210,172690,114030,2660,1890,1050,0,64680,45290
15677,0,1976-12-09,206010,136780,137550,88760,2380,1680,280,210,65800,46130
15678,0,1986-09-11,270130,177170,194950,130550,11340,1890,0,0,63840,44730
15679,177000,1999-11-05,245070,155960,178360,109200,2870,2030,0,0,63840,44730
15680,0,2021-12-29,281890,179830,214410,132510,2940,2030,700,560,63840,44730
15681,360000,2021-09-14,270410,177730,203210,130550,2870,2030,700,560,63630,44590
15682,285000,2005-08-01,245630,161000,178640,114100,2800,1960,0,0,64190,44940
15683,320000,2023-06-29,293020,186410,224490,138460,2870,1960,0,0,65660,45990
15684,380000,2022-06-10,263340,168560,188720,122430,11620,2030,0,0,63000,44100
15685,0,1978-11-29,241220,156730,174160,109760,2870,2030,0,0,64190,44940
15686,0,2022-04-11,239820,161000,171850,113330,2800,2030,0,0,65170,45640
15687,346000,2021-10-05,231140,149240,162820,101080,2870,2030,140,350,65310,45780
15688,435000,2025-05-13,260750,172760,194740,126560,0,0,0,0,66010,46200
15689,0,2024-12-20,552790,464520,458150,383460,2590,1890,10080,7420,81970,71750
15690,1,2012-10-09,231210,151550,160090,101570,0,0,1820,1400,69300,48580
15691,40000,2000-12-28,148890,101640,91980,61740,0,0,0,0,56910,39900
15692,149000,1991-07-31,292040,187250,225050,140210,2870,2100,0,0,64120,44940
15693,0,1971-07-15,8540,9380,0,0,0,0,0,0,8540,9380
15694,0,2007-07-30,300230,206710,223930,151690,2800,2030,980,840,72520,52150
15695,234500,2014-01-08,268940,173040,205660,128170,1820,1820,0,0,61460,43050
15696,450000,2025-05-23,268730,163660,207900,120470,1820,1820,0,0,59010,41370
15697,334000,2008-06-27,290500,172410,222460,127120,0,2030,8120,1260,59920,42000
15698,240000,2016-11-02,269500,170590,204820,125230,2870,2030,0,0,61810,43330
15699,0,2014-09-24,298340,207690,225610,156450,2870,2030,0,0,69860,49210
15700,297500,2008-09-03,269500,173460,194950,121030,2800,1960,770,0,70980,50470
15701,0,1996-07-23,256200,174230,188860,127050,2870,2030,0,0,64470,45150
15702,350000,2008-09-05,280490,196770,214830,150710,2870,2030,0,0,62790,44030
15703,185000,2001-02-21,271530,180740,205030,134120,2870,2030,0,0,63630,44590
15704,410000,2023-01-27,279790,197540,212380,150080,2870,2100,1540,1260,63000,44100
15705,360000,2005-06-15,261870,173810,195930,127540,2800,2030,0,0,63140,44240
15706,250000,2012-10-16,222320,148610,155540,101640,2730,2030,700,560,63350,44380
15707,255000,2003-05-30,246330,167580,180530,121450,2800,2030,0,0,63000,44100
15708,308500,2008-10-10,243670,165550,180040,120890,2800,2030,0,0,60830,42630
15709,317000,2014-06-23,300580,212800,237090,168140,2870,2100,980,770,59640,41790
15710,206000,2017-08-01,272020,186760,209510,142870,2870,2100,0,0,59640,41790
15711,292000,2009-06-04,238770,157780,176330,113960,2800,2030,0,0,59640,41790
15712,320000,2013-04-02,296240,202440,233730,158620,2870,2030,0,0,59640,41790
15713,0,1985-07-29,266280,182140,203280,137900,2800,2030,0,0,60200,42210
15714,0,2024-04-30,253680,167580,188860,122080,2800,2030,0,0,62020,43470
15715,0,2000-05-18,281680,183470,207340,137480,11690,2030,630,490,62020,43470
15716,335000,2021-10-04,231210,151830,168280,107660,2730,1960,0,0,60200,42210
15717,263000,2013-03-19,271530,182070,205450,135310,5880,4550,0,0,60200,42210
15718,139900,1997-06-11,242550,158550,179620,114380,2730,1960,0,0,60200,42210
15719,0,2004-02-27,279510,179130,215460,134120,2800,1960,1050,840,60200,42210
15720,0,1987-07-22,285250,195720,222250,151480,2800,2030,0,0,60200,42210
15721,209000,2018-08-22,249060,161070,181860,113680,2870,2100,2520,1960,61810,43330
15722,283000,2020-08-18,263480,180110,199500,135170,2870,2100,560,420,60550,42420
15723,0,2013-05-31,268520,180460,204680,135730,2870,1960,0,0,60970,42770
15724,370000,2022-01-06,232540,149870,170380,106330,2870,1960,0,0,59290,41580
15725,0,1986-06-03,234080,157010,171080,112770,2800,2030,0,0,60200,42210
15726,247500,2000-08-04,282170,207410,218750,162960,2870,2030,0,0,60550,42420
15727,0,1973-12-14,10500,7350,0,0,0,0,0,0,10500,7350
15728,0,1981-08-25,257040,161280,195860,118370,2800,1960,0,0,58380,40950
15729,184000,2000-09-07,218750,153020,168630,113260,2660,1960,0,0,47460,37800
15730,295000,2018-04-19,255010,191030,203560,150290,2800,1960,0,0,48650,38780
15731,347000,2020-04-24,329280,244370,262220,191170,6720,5040,10360,8330,49980,39830
15732,270000,2014-12-08,278390,207970,219730,150430,2730,1960,6720,16380,49210,39200
15733,280000,2019-12-12,253400,186900,202230,146230,2730,2100,0,0,48440,38570
15734,252500,2002-10-01,256480,169400,188510,121310,2800,2030,0,420,65170,45640
15735,0,2018-12-27,68250,48860,0,0,0,0,0,0,68250,48860
15736,269900,2017-12-05,246120,171990,200270,135660,2800,2030,0,0,43050,34300
15737,360000,2005-04-01,258090,179830,208530,140210,2870,2030,0,420,46690,37170
15738,80000,1992-04-29,301280,209930,249830,168840,3010,2170,0,350,48440,38570
15739,345000,2014-07-31,284970,232540,236740,194320,3010,2240,0,0,45220,35980
15740,360000,2020-10-05,296590,241150,244440,199500,3080,2240,0,350,49070,39060
15741,68000,1992-10-13,305830,258160,254100,217140,2940,2170,0,0,48790,38850
15742,220000,1995-06-05,336000,273350,283780,231980,2940,2100,630,490,48650,38780
15743,620000,2024-10-16,392420,250670,339990,207690,3990,4060,0,350,48440,38570
15744,549900,2022-11-21,415100,306670,358610,261450,6650,5180,0,350,49840,39690
15745,60000,1998-01-15,270130,224280,223510,187320,3010,2240,0,0,43610,34720
